,Text,Length,Cluster,Most Important Word
0,situated heart dublin city centre historic building gresham hotel benefits restaurant toddys bar hotel offers free wifi spacious rooms overlooking o’connell street dublin 3arena one miles awayeach bedroom features lcd tv safe iron ironing board tea coffee making facilities majority bedrooms overlook rear gresham hotel neighbouring buildingsthe gallery restaurant serves breakfast morning toddys bar brasserie writers lounge serve wide variety food beverages throughout daythe hotel gym twentyfour hour access located first floorextensive car parking available next hotel surchargethe river liffey temple bar shopping districts minutes’ walk away dublin airport sixtytwo miles away port sixteen miles hotel connolly train station 5minute walk away,748,1,hotel
1,dcu rooms hallows located dublin property situated seven miles croke park stadium property eleven miles dcu dublin city university sixteen miles convention centre dublinat hostel room fitted desk includes private bathroom shower rooms also wardrobea buffet continental breakfast available morning propertydcu hallows offers terracewhen guests need guidance visit reception happy provide advice3arena eighteen miles accommodation nearest airport dublin airport thirtyseven miles dcu rooms hallows,495,1,hallows
2,central dublin hotel situated harcourt st south west corner st stephen’s green dublin city centre major attractions within walking distance hotel additionally hotel located green luas line tram system convenient way travel grafton street ireland’s exclusive shopping district well popular temple bar areathe hotel currently incorporates eight georgian listed buildings one former home george bernard shaw hotel offers one hundred bedrooms ‘1900’ restaurant dtwo bar nightclub weather heated beer garden hotel provides free wifi bedrooms public areasdtwo one harcourt street’s popular nightclubs variety music old school classics newest chart hits fully heated beer garden perfect location enjoy sporting event thanks seven yards screen well twenty screens throughout venuetrinity college st patricks cathedral within walking distance iveagh gardens directly behind hotel perfect jogging,886,1,hotel
3,youre eligible genius discount hotel seven save property sign infeaturing restaurant bar hotel seven offers accommodation dublin seven hundred fifty yards croke park stadium 16minute walk temple bar free wifi available propertyeach room contains teacoffee making facilities flatscreen tv cable channels bathroom facilities offer hairdryer wardrobes available room wakeup service offered guestshotel seven features 24hour reception desk guests enjoy hotels bar restaurant also offers childrens meals breakfast menu items continental full englishirish options availablethe property nine miles trinity college nine miles button factory nine miles visit dublin property situated 19minute walk city halldublin castle eleven miles hotel seven jameson distillery eleven miles property,777,1,seven
4,set four hundred fifty yards st patricks cathedral aloft dublin city located dublin offers rooftop bar restaurant panoramic views city property set seven miles guinness storehouse six miles st stephens greeneach spacious guest rooms feature 49inch lcd tv walkin shower complimentary bliss toiletries free highspeed wifi provided throughout hotelguests enjoy views 7th floor refuel restaurant wxyz bar continental breakfast served morning 24hour room service availablethe hotel offers fitness centrestaff reception assist guests time day nearest airport dublin airport eightyone miles accommodation,597,1,7th
5,youre eligible genius discount yugo ardcairn house save property sign inyugo ardcairn house located dublin’s north west city centre within fifteen minute walk central shopping district henry street five minutes walk grangegorman smithfield luas lines property offers easy access croke park phoenix park dublin zoo jameson brewery guinness storehousethe property offers double rooms shared apartments double room offers small 120cmwide double bed ensuite shower room access shared kitchen microwave fridge oven hob apartments include seating area sofa wallmounted flatscreen tvthere onsite shop 24hour shop found less five minutes awaynearby smithfield market host array bars restaurants temple bar area reached around twenty minutes footdublin castle twelve miles away guinness storehouse thirteen miles property heuston railway station 20minute walk property dublin airport seventyfive miles away reached bus,909,1,double
6,youre eligible genius discount odonoghues save property sign inwith live traditional irish music every night odonoghues located corner st stephen’s green five minutes’ walk grafton street guests enjoy lively traditional bar ten minutes’ walk temple bar districtthe traditionally furnished rooms include free wifi private bathroom hairdryer guests relax tv free tea coffee refrigerator room features soundproofingst stephen’s green features excellent public transport links including luas tram bus dart train stations also taxi rank outside o’donoghues’s front door trinity college 5minute walk away o’connell street reached fifteen minutes footodonoghues showcases live music two thousand one hundred weekdays one thousand three hundred weekends light snacks drinks available day bar number cafes area,801,1,odonoghues
7,youre eligible genius discount lansdowne hotel save property sign inthe lansdowne hotel 10minute walk dublin’s aviva stadium rds boutique hotel offers spacious rooms homecooked food free wifi also available throughout hotelrooms decorated warm colours feature satellite tv work desk armchair also include telephones teacoffeemaking facilities private bathrooms showers hairdryersserving irish breakfast morning traditional irish cuisine evening druids restaurant mood lighting celtic artwork tapestries book kells decorating wallsthe den bar unique collection sports memorabilia offers bar menu carvery lunch variety beverages including local guinness five pubs surrounding hotelgrafton street st stephen’s green 15minute walk away o2 arena 10minute drive property,764,1,lansdowne
8,city centre studio apartment set dublin less six miles dublin castle 12minute walk chester beatty library well less six miles epic irish emigration museum accommodation nine hundred yards city hall free wifi throughout propertythis apartment one bedroom living room fully equipped kitchen fridge oven towels bed linen offered apartmentpopular points interest near apartment include connolly train station st michans church gaiety theatre nearest airport dublin airport fiftysix miles city centre studio apartment,512,0,studio
9,set eightyone miles rds eightyone miles aviva stadium nook county dublin features free wifi mountain viewsthe 3bedroom selfcontained property fully fitted kitchen dishwasher microwave kettle washing machine living room cable tvguests relax play tennis garden propertygrand canal eightyseven miles country house leinster house eightyseven miles away nearest airport dublin airport one hundred fortythree miles nook county dublin,427,0,nook
