,review
0,"Location, breakfast, cleanliness etc"
1,Staff were super helpful with getting me checked in early after a long distance flight. Buffet breakfast was also delicious. Great value hotel in a central location only moments from a Luas stop.
2,"Breakfast was not included and for the price paid it would have been nice if it was, location was perfect for Grafton Street and all the places of interest, room was ideal although bed was a bit weird as it was pushed up against the window."
3,"Absolutely loved the hotel! The staff members were friendly, good location, excellent facilities, good wifi connection, I totally recommend it!"
4,beautifully designed and in an excellent location
5,The cleaners never came on our  3rd day there!
6,"clean, tidy and friendly"
7,it’s about 10minutes away from main attractions
8,clean good for the purpose
9,Oriol and Jaime (the Spanish staff) were really good and kind with us.
10,"Very happy with the location of the hotel, the room size was also an added bonus. Decent breakfast selection to be had."
11,"The position of the bed, means you have to climb over your partner if you want to get out of bed."
12,generally everything was fine.
13,nothing
14,"lovely and clean. comfortable beds and spacious rooms. staff were so friendly, highly recommend"
15,nothing
16,"The people on reception were very helpful, as I am disabled they gave us a room at 11 in the morning, instead of check in at 3. So I was able to rest. The room was clean and bed was extremely comfortable. The hotel's location was where we were going to a concert. The bar staff were very friendly and helpful too."
17,Extremely helpful pleasant staff on reception/check in. Car parking facility very good with valet service.
18,Disappointed with breakfast what was left at 10:30 was not warm and one of our party was sick afterwards. Sausages seemed very undercooked.
19,"Very good location
Nice and friendly people
Friendly staff
I stayed just one night but it was very nice place and I met some great people there. The hostel is well equipped also if you want to cook for yourself. There is a bus stop just outside from which you can take the bus to the airport and the centre is within walking distance. There is not much extra personal space in the room and the walls are quite thin but for a short stay it is no problem. Staff was very helpful too."
20,"Excellent position, nice rooms with good equipment, friendly staff and good breakfast."
21,At night you could hear every little noise
22,I had a great time staying at Gardiner House! It's a little off the beaten path but staff helpful. Room and washroom facilitiesal nice and clean.Would stay again!!!
23,The lady who checked us in
24,The mattress
25,"The staff was extremely friendly and helped us with the navigation within the city. Also, the location was great, an easily 15 walk from the heart of the city. We felt safe and overall had a great time."
26,"The only thing that really bothered us was the lack of ventilation in the chapel experience room. 
It would get really hot and smelled a bit bad after a while. Other than the stay was exactly what we needed."
27,"It was clean
Cool people
Comfortable"
28,Nice peaceful place to stay
29,"good facilities, pool table. nice shower temp/head size. beds were ok. good kitchen/cooking facilities. great staff."
30,The size of the room and bathroom is really small.The double bed is accessible only from one side that is not exactly convenient.
31,needs more fridge space. smaller dorms doesn’t seem that difficult to achieve for more privacy. more shower mats as shower/bathroom combo makes for wet floors.
32,good location. staff were very nice.
33,the room was packed and the air in there was not ventilated well.
34,Room very clean
35,Noisy rooms especially at night
36,"We booked a whole room, not a shared bedroom, and everything was great - 20 minutes by foot to the center of Dublin. Despite so many people staying in this accomodation, the toilets and showers were always clean!"
37,great and helpful staff. good for solo and backpackers.
38,untidy cutlery during breakfast.
39,Location was excellent. Room was also convinient. Like the space to store personal items. Bed was also Ok with convinient plugs for charging.
40,"Extremely noisy in the hallways until very late at night ,actually it was noisy during the whole night. Even though the bed was comfortable, it was impossible to sleep with all the noise and yelling from the hallways."
41,how close it was and very easy check in
42,location
43,"small, student crowds"
44,great bathrooms and comfortable rooms
45,it’s not the closest to the center
46,"great location, rooms clean"
47,nothing really
48,"very nice and clean..nice warm welcome off the guy behind the desk sorry didn’t get name but he had a cap on and Liverpool shirt on , room deluxe king big and clean , t.v , charging points, towels and hair dryer all in room, bar was nice price wasn’t too bad felt safe nice atmosphere all in all good.."
49,my own personal preference I could of done with a kettle and some tea and coffee in room..
50,"The location was good and close to the city, stores and food options. (Good pizza in the fresh market across from the square)."
51,"The sanitair was not clean at all, hairs and dirt in the showers and clogged toilets. The beds could use a curtain/USB plugs."
52,nothing
53,"Good beds , convenient location"
