Review,Sentiment
"Location, breakfast, cleanliness etc",POSITIVE
Staff were super helpful with getting me checked in early after a long distance flight. Buffet breakfast was also delicious. Great value hotel in a central location only moments from a Luas stop.,POSITIVE
"Breakfast was not included and for the price paid it would have been nice if it was, location was perfect for Grafton Street and all the places of interest, room was ideal although bed was a bit weird as it was pushed up against the window.",NEGATIVE
"Absolutely loved the hotel! The staff members were friendly, good location, excellent facilities, good wifi connection, I totally recommend it!",POSITIVE
beautifully designed and in an excellent location,POSITIVE
The cleaners never came on our  3rd day there!,NEGATIVE
"clean, tidy and friendly",POSITIVE
it’s about 10minutes away from main attractions,POSITIVE
clean good for the purpose,POSITIVE
Oriol and Jaime (the Spanish staff) were really good and kind with us.,POSITIVE
"Very happy with the location of the hotel, the room size was also an added bonus. Decent breakfast selection to be had.",POSITIVE
"The position of the bed, means you have to climb over your partner if you want to get out of bed.",NEGATIVE
generally everything was fine.,POSITIVE
nothing,NEGATIVE
"lovely and clean. comfortable beds and spacious rooms. staff were so friendly, highly recommend",POSITIVE
nothing,NEGATIVE
"The people on reception were very helpful, as I am disabled they gave us a room at 11 in the morning, instead of check in at 3. So I was able to rest. The room was clean and bed was extremely comfortable. The hotel's location was where we were going to a concert. The bar staff were very friendly and helpful too.",POSITIVE
Extremely helpful pleasant staff on reception/check in. Car parking facility very good with valet service.,POSITIVE
Disappointed with breakfast what was left at 10:30 was not warm and one of our party was sick afterwards. Sausages seemed very undercooked.,NEGATIVE
"Very good location
Nice and friendly people
Friendly staff
I stayed just one night but it was very nice place and I met some great people there. The hostel is well equipped also if you want to cook for yourself. There is a bus stop just outside from which you can take the bus to the airport and the centre is within walking distance. There is not much extra personal space in the room and the walls are quite thin but for a short stay it is no problem. Staff was very helpful too.",POSITIVE
"Excellent position, nice rooms with good equipment, friendly staff and good breakfast.",POSITIVE
At night you could hear every little noise,POSITIVE
I had a great time staying at Gardiner House! It's a little off the beaten path but staff helpful. Room and washroom facilitiesal nice and clean.Would stay again!!!,POSITIVE
The lady who checked us in,NEGATIVE
The mattress,POSITIVE
"The staff was extremely friendly and helped us with the navigation within the city. Also, the location was great, an easily 15 walk from the heart of the city. We felt safe and overall had a great time.",POSITIVE
"The only thing that really bothered us was the lack of ventilation in the chapel experience room. 
It would get really hot and smelled a bit bad after a while. Other than the stay was exactly what we needed.",NEGATIVE
"It was clean
Cool people
Comfortable",POSITIVE
Nice peaceful place to stay,POSITIVE
"good facilities, pool table. nice shower temp/head size. beds were ok. good kitchen/cooking facilities. great staff.",POSITIVE
The size of the room and bathroom is really small.The double bed is accessible only from one side that is not exactly convenient.,NEGATIVE
needs more fridge space. smaller dorms doesn’t seem that difficult to achieve for more privacy. more shower mats as shower/bathroom combo makes for wet floors.,POSITIVE
good location. staff were very nice.,POSITIVE
the room was packed and the air in there was not ventilated well.,NEGATIVE
Room very clean,POSITIVE
Noisy rooms especially at night,NEGATIVE
"We booked a whole room, not a shared bedroom, and everything was great - 20 minutes by foot to the center of Dublin. Despite so many people staying in this accomodation, the toilets and showers were always clean!",POSITIVE
great and helpful staff. good for solo and backpackers.,POSITIVE
untidy cutlery during breakfast.,NEGATIVE
Location was excellent. Room was also convinient. Like the space to store personal items. Bed was also Ok with convinient plugs for charging.,POSITIVE
"Extremely noisy in the hallways until very late at night ,actually it was noisy during the whole night. Even though the bed was comfortable, it was impossible to sleep with all the noise and yelling from the hallways.",NEGATIVE
how close it was and very easy check in,POSITIVE
location,POSITIVE
"small, student crowds",NEGATIVE
great bathrooms and comfortable rooms,POSITIVE
it’s not the closest to the center,NEGATIVE
"great location, rooms clean",POSITIVE
nothing really,NEGATIVE
"very nice and clean..nice warm welcome off the guy behind the desk sorry didn’t get name but he had a cap on and Liverpool shirt on , room deluxe king big and clean , t.v , charging points, towels and hair dryer all in room, bar was nice price wasn’t too bad felt safe nice atmosphere all in all good..",POSITIVE
my own personal preference I could of done with a kettle and some tea and coffee in room..,NEGATIVE
"The location was good and close to the city, stores and food options. (Good pizza in the fresh market across from the square).",POSITIVE
"The sanitair was not clean at all, hairs and dirt in the showers and clogged toilets. The beds could use a curtain/USB plugs.",NEGATIVE
nothing,NEGATIVE
"Good beds , convenient location",POSITIVE
Woman snoring really loudly . Very loud dormitory doors banging up and down the corridors,NEGATIVE
"The staff was great, absolutely no complaints!",POSITIVE
"When we got in the room, there was a towel that seemed used hanging in the shower. Cleanliness otherwise was good!",NEGATIVE
I liked the vibe and all the amentities there,POSITIVE
"it felt like a dorm, but very nice.",POSITIVE
Incredible room. Incredible facilities. Incredible staff. Couldn't recommend enough.,POSITIVE
"It was a bit far out of the city centre (30mins walk) but it was do-able, and if you didn't want to walk there was a bus stop just outside!",POSITIVE
Room was a little bit cold,NEGATIVE
The location was brilliant and it’s a lovely modern hotel.,POSITIVE
the food could be better,NEGATIVE
"Had a lovely meal in the bar. Very friendly and professional staff. Rooms were spotless and even though my room overlooked a busy road, there wasn’t an issue with noise. Secure parking as well.",POSITIVE
Bed mattress was a little on the hard side,NEGATIVE
"The hotel was clean, comfortable and quiet at night and directly across the road from the historic Kilmainham Gaol with the museum of modern art and grounds a stones throw away.",POSITIVE
There was an additional charge for parking which I thought was a little unnecessary considering the room was over €200 per night. I felt this could have been complimentary.,NEGATIVE
Pool area was nice,POSITIVE
"Excellent location, straight across the road from kilmainham Goal and approximately 20 min walk to zoo.",POSITIVE
