Unigrams,Bigrams,Trigrams,Quatrograms
"(('good',), 733)","(('great', 'locat'), 120)","(('would', 'high', 'recommend'), 14)","(('locat', 'good', 'valu', 'money'), 5)"
"(('stay',), 422)","(('place', 'stay'), 53)","(('good', 'valu', 'money'), 12)","(('good', 'locat', 'good', 'valu'), 3)"
"(('great',), 408)","(('great', 'stay'), 50)","(('great', 'valu', 'money'), 12)","(('stay', 'one', 'night', 'good'), 3)"
"(('except',), 362)","(('good', 'locat'), 41)","(('locat', 'good', 'valu'), 9)","(('love', 'stay', 'citi', 'centr'), 3)"
"(('locat',), 324)","(('valu', 'money'), 39)","(('great', 'place', 'stay'), 9)","(('afford', 'place', 'stay', 'dublin'), 3)"
"(('superb',), 268)","(('good', 'valu'), 34)","(('definit', 'come', 'back'), 8)","(('good', 'valu', 'good', 'locat'), 3)"
"(('dublin',), 163)","(('high', 'recommend'), 32)","(('place', 'stay', 'dublin'), 8)","(('great', 'valu', 'great', 'locat'), 3)"
"(('place',), 162)","(('great', 'valu'), 32)","(('hotel', 'great', 'locat'), 8)","(('locat', 'heart', 'templ', 'bar'), 3)"
"(('staff',), 149)","(('love', 'stay'), 32)","(('good', 'place', 'stay'), 7)","(('great', 'locat', 'good', 'valu'), 3)"
"(('hotel',), 144)","(('would', 'stay'), 31)","(('staff', 'great', 'locat'), 7)","(('great', 'locat', 'friend', 'staff'), 3)"
"(('comfort',), 137)","(('friend', 'staff'), 30)","(('perfect', 'place', 'stay'), 6)","(('stay', 'would', 'high', 'recommend'), 2)"
"(('love',), 136)","(('great', 'place'), 30)","(('nice', 'place', 'stay'), 6)","(('nice', 'place', 'stay', 'close'), 2)"
"(('nice',), 126)","(('enjoy', 'stay'), 28)","(('great', 'locat', 'comfort'), 6)","(('nice', 'place', 'stay', 'afford'), 2)"
"(('would',), 112)","(('stay', 'dublin'), 27)","(('stay', 'great', 'locat'), 6)","(('amaz', 'would', 'high', 'recommend'), 2)"
"(('room',), 103)","(('short', 'stay'), 25)","(('good', 'short', 'stay'), 5)","(('conveni', 'pleasant', 'stay', 'would'), 2)"
"(('perfect',), 102)","(('perfect', 'locat'), 24)","(('would', 'recommend', 'hotel'), 5)","(('pleasant', 'stay', 'would', 'recommend'), 2)"
"(('excel',), 94)","(('great', 'hotel'), 22)","(('stay', 'one', 'night'), 5)","(('stay', 'would', 'recommend', 'group'), 2)"
"(('valu',), 91)","(('excel', 'locat'), 21)","(('realli', 'enjoy', 'stay'), 5)","(('would', 'recommend', 'group', 'friend'), 2)"
"(('recommend',), 84)","(('citi', 'centr'), 20)","(('great', 'locat', 'price'), 5)","(('excel', 'locat', 'easi', 'check'), 2)"
"(('citi',), 82)","(('locat', 'good'), 18)","(('comfort', 'great', 'locat'), 5)","(('locat', 'easi', 'check', 'friend'), 2)"
